"Elektriciteitsbalans; aanbod en verbruik"
""
"";"";"Perioden"
"Onderwerp";"";"2016 mei*";"2016 juni*";"2016 2e kwartaal*";"2017 mei*";"2017 juni*";"2017 2e kwartaal*"
"Totaal aanbod";"mln kWh";"9366";"9707";"28343";"9482";"9366";"27965"
"||Totaal productie";"mln kWh";"8214";"8292";"25128";"8345";"8486";"25806"
"||Centraal";"mln kWh";"5258";"5495";"16353";"5389";"5689";"16873"
"||Decentraal";"mln kWh";"2956";"2797";"8775";"2956";"2797";"8933"
"Invoer";"mln kWh";"2397";"2413";"6917";"2327";"1984";"6231"
"Uitvoer";"mln kWh";"1245";"998";"3702";"1190";"1104";"4072"
"||Totaal verbruik";"mln kWh";"9366";"9707";"28343";"9482";"9366";"27965"
"Via het openbare net";"mln kWh";"7984";"8028";"23611";"8142";"8009";"23160"
"Via bedrijfsnetten";"mln kWh";"1075";"1269";"3716";"1099";"1086";"3984"
"||Totaal bij de productie";"mln kWh";"307";"410";"1016";"241";"271";"821"
"||Centraal";"mln kWh";"226";"329";"766";"173";"187";"573"
"||Decentraal";"mln kWh";"81";"81";"250";"68";"84";"248"
"Verliezen bij distributie";"mln kWh";"525";"539";"1584";"536";"528";"1575"
"Bron: CBS"
